ep_num,title,air_date,subject,ticker,parent,status,source_note
51,"SoftBank, Fortress and the Vision Fund",2018-03-22,,,,,S2E4; https://www.acquired.fm/episodes/season-2-episode-4softbank-fortress-and-the-vision-fund
52,The Dropbox IPO,2018-03-25,,,,,S2E5; https://www.acquired.fm/episodes/the-uber-ipo
53,Spotify’s Direct Listing,2018-04-05,,,,,S2E6; https://www.acquired.fm/episodes/season-2-episode-6spotifys-direct-listing
54,PowerPoint,2018-05-04,,,,,S2E7; https://www.acquired.fm/episodes/season-2-episode-7powerpoint
55,T-Mobile / Sprint,2018-05-21,,,,,S2E8; https://www.acquired.fm/episodes/season-2-episode-8t-mobile-sprint
56,GitHub,2018-06-05,,,,,S2E9; https://www.acquired.fm/episodes/season-2-episode-9github
57,The Rover-DogVacay Merger (with Rover CEO Aaron Easterly),2018-06-17,,,,,S2E10; https://www.acquired.fm/episodes/season-2-episode-10the-rover-dogvacay-merger-with-rover-ceo-aaron-easterly
58,Tesla,2018-07-16,,,,,S3E1; https://www.acquired.fm/episodes/the-slack-dpo
59,The Xiaomi IPO,2018-08-05,,,,,S3E2; https://www.acquired.fm/episodes/the-shopify-ipo
60,The Sonos IPO,2018-08-20,,,,,S3E3; https://www.acquired.fm/episodes/the-shopify-ipo
61,Recode (with Kara Swisher),2018-09-10,,,,,S3E4; https://www.acquired.fm/episodes/season-3-episode-4recode-with-kara-swisher
62,Alibaba,2018-09-23,,,,,S3E5; https://www.acquired.fm/episodes/alibaba
63,Behance (with Scott Belsky),2018-10-01,,,,,S3E6; https://www.acquired.fm/episodes/behance-with-scott-belsky
64,Venmo (live with Andrew Kortina),2018-10-29,,,,,S3E7; https://www.acquired.fm/episodes/season-3-episode-7-venmo-sf-live-show-with-andrew-kortina
65,Netflix (Part 1),2018-11-11,,,,,S3E8; https://www.acquired.fm/episodes/netflix-part-1
66,Netflix (Part 2),2018-11-25,,,,,S3E9; https://www.acquired.fm/episodes/netflix-part-2
67,Tencent,2018-12-16,,,,,S3E10; https://www.acquired.fm/episodes/season-3-episode-10-tencent
68,ESPN,2019-01-21,,,,,S4E1; https://www.acquired.fm/episodes/season-4-episode-1-espn
69,ARM & SoftBank,2019-02-03,,,,,S4E2; https://www.acquired.fm/episodes/arm-softbank
70,Instagram Revisited (with Emily White),2019-02-25,,,,,S4E3; https://www.acquired.fm/episodes/instagram-revisited-with-emily-white
71,The Lyft IPO,2019-03-30,,,,,S4E4; https://www.acquired.fm/episodes/the-uber-ipo
72,The Pinterest IPO,2019-04-23,,,,,S4E5; https://www.acquired.fm/episodes/the-pinterest-ipo
73,The Uber IPO,2019-05-11,,,,,S4E6; https://www.acquired.fm/episodes/the-uber-ipo
74,The Electronic Arts IPO (with Trip Hawkins),2019-05-27,,,,,S4E7; https://www.acquired.fm/episodes/the-electronic-arts-ipo-with-trip-hawkins
75,The Zoom IPO (with Santi Subotovsky),2019-06-18,,,,,S4E8; https://www.acquired.fm/episodes/the-zoom-ipo-with-santi-subotovsky
