ep_num,title,air_date,subject,ticker,parent,status,source_note
126,Walmart,2022-07-18,,,,,S11E1; https://www.acquired.fm/episodes/walmart
127,Amazon.com,2022-08-16,,,,,S11E2; https://www.acquired.fm/episodes/amazon-com
128,Amazon Web Services,2022-09-05,,,,,S11E3; https://www.acquired.fm/episodes/amazon-web-services
129,Benchmark Part I,2022-09-27,,,,,S11E4; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner
130,Benchmark Part II: The Dinner,2022-10-17,,,,,S11E5; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner
131,Qualcomm,2022-11-14,,,,,S11E6; https://www.acquired.fm/episodes/qualcomm
132,Enron,2022-11-28,,,,,S11E7; https://www.acquired.fm/episodes/enron
133,Stratechery (with Ben Thompson),2022-12-05,,,,,S11E8; https://www.acquired.fm/episodes/stratechery-with-ben-thompson
134,LVMH,2023-02-21,,,,,S12E2; https://www.acquired.fm/episodes/lvmh
135,Nintendo's Origins,2023-03-15,,,,,S12E3; https://www.acquired.fm/episodes/nintendo
136,Nintendo: The Console Wars,2023-04-11,,,,,S12E4; https://www.acquired.fm/episodes/nintendo-the-console-wars
137,Lockheed Martin,2023-05-29,,,,,S12E5; https://www.acquired.fm/episodes/lockheed-martin
138,Porsche (with Doug DeMuro),2023-06-26,,,,,S12E6; https://www.acquired.fm/episodes/porsche-with-doug-demuro
139,Nike,2023-07-24,,,,,S13E1; https://www.acquired.fm/episodes/nike
140,Costco,2023-08-21,,,,,S13E2; https://www.acquired.fm/episodes/costco (RSS pubDate 2026-03-03 appears to reflect a later re-upload; true air date confirmed via acquired.fm episode page)
141,Nvidia Part III: The Dawn of the AI Era (2022-2023),2023-09-05,,,,,S13E3; https://www.acquired.fm/episodes/nvidia-the-dawn-of-the-ai-era
142,Visa,2023-11-26,,,,,S13E4; https://www.acquired.fm/episodes/visa
143,Novo Nordisk (Ozempic),2024-01-21,,,,,S14E1; https://www.acquired.fm/episodes/novo-nordisk-ozempic
144,Hermès,2024-02-19,,,,,S14E2; https://www.acquired.fm/episodes/hermes
145,Renaissance Technologies,2024-03-17,,,,,S14E3; https://www.acquired.fm/episodes/renaissance-technologies
146,Microsoft Volume I,2024-04-21,,,,,S14E4; https://www.acquired.fm/episodes/microsoft-volume-ii
147,Starbucks (with Howard Schultz),2024-06-03,,,,,S14E5; https://www.acquired.fm/episodes/starbucks-with-howard-schultz
148,Microsoft Volume II,2024-07-21,,,,,S14E6; https://www.acquired.fm/episodes/microsoft-volume-ii
149,"Acquired LIVE from Chase Center (with Daniel Ek, Emily Chang, Jensen Huang and Mark Zuckerberg)",2024-09-29,,,,,S15E1; https://www.acquired.fm/episodes/acquired-live-from-chase-center-with-daniel-ek-emily-chang-jensen-huang-and-mark-zuckerberg
150,Meta,2024-10-27,,,,,S15E2; https://www.acquired.fm/episodes/meta
