ep_num,title,air_date,subject,ticker,parent,status,source_note
76,The Slack DPO,2019-06-24,Slack,WORK,,public,"S4E9; https://www.acquired.fm/episodes/the-slack-dpo; Slack direct-listed on NYSE 2019-06-20 as WORK, already public on air date"
77,Superhuman (with CEO Rahul Vohra),2019-06-27,Superhuman,,,skipped,"S4E10; https://www.acquired.fm/episodes/superhuman; private email startup, never went public"
78,Huawei,2019-07-22,Huawei,,,skipped,"S5E1; https://www.acquired.fm/episodes/huawei; privately/employee-owned, no public listing"
79,The Shopify IPO,2019-08-06,Shopify,SHOP,,public,"S5E2; https://www.acquired.fm/episodes/the-shopify-ipo; public on NYSE as SHOP since 2015"
80,Google Maps,2019-08-26,Google,GOOGL,,public,"S5E3; https://www.acquired.fm/episodes/google-maps; Maps is a core in-house Alphabet/Google product, not an acquired subsidiary, GOOGL public"
81,Sequoia Capital (Part 1),2019-09-26,Sequoia Capital,,,skipped,"S5E4; https://www.acquired.fm/episodes/sequoia-capital-part-1; private VC partnership, no public stock"
82,Atari (with Nolan Bushnell),2019-10-15,Atari,ALATA.PA,,public,"S5E5; https://www.acquired.fm/episodes/atari-with-nolan-bushnell; current Atari SA trades on Euronext Paris/Growth as ALATA, no US ADR"
83,The WeWork “Acquisition” (with Dan Primack),2019-10-24,WeWork,9984.T,SoftBank Group,parent,"S5E6; https://www.acquired.fm/episodes/the-wework-acquisition-with-dan-primack; SoftBank rescue deal announced 2019-10-22 gave SoftBank ~80% economic stake in still-private WeWork, buy public parent SoftBank (Tokyo 9984)"
84,"Disney, Plus",2019-11-25,Disney,DIS,,public,"S5E7; https://www.acquired.fm/episodes/disney-plus; Disney+ is a Disney product, DIS public"
85,TikTok,2019-12-08,TikTok,,,skipped,"S5E8; https://www.acquired.fm/episodes/tiktok; owned by ByteDance, private, no public parent"
86,Convoy (with CEO Dan Lewis),2019-12-19,Convoy,,,skipped,"S5E9; https://www.acquired.fm/episodes/convoy-with-ceo-dan-lewis; private freight startup, shut down 2023, never public"
87,The Lean Startup and the Long-Term Stock Exchange (with Eric Ries),2019-12-29,Long-Term Stock Exchange,,,skipped,"S5E10; https://www.acquired.fm/episodes/season-5-episode-10-the-lean-startup-and-the-long-term-stock-exchange-with-eric-ries; episode about a methodology/private exchange operator, no public stock"
88,WhatsApp,2020-01-28,WhatsApp,META,Facebook (Meta),parent,"S6E1; https://www.acquired.fm/episodes/whatsapp; acquired by Facebook 2014, public parent renamed META in 2022"
89,Sequoia Capital Part II (with Doug Leone),2020-02-17,Sequoia Capital,,,skipped,"S6E2; https://www.acquired.fm/episodes/sequoia-capital-part-ii-with-doug-leone; private VC partnership, no public stock"
90,The Top 10 Acquisitions of All-Time,2020-03-17,,,,skipped,"S6E3; https://www.acquired.fm/episodes/acquired-top-ten-the-best-acquisitions-of-all-time; list/retrospective episode, not about one company"
91,Adapting Episode 1: Canlis,2020-03-20,Canlis,,,skipped,"S6E4; https://www.acquired.fm/episodes/adapting-episode-3-intel; private Seattle restaurant, no public listing"
92,Adapting Episode 2: Sequoia’s Black Swan Memo (with Roelof Botha),2020-03-30,Sequoia Capital,,,skipped,"S6E5; https://www.acquired.fm/episodes/sequoias-black-swan-memo; private VC partnership, no public stock"
93,Adapting Episode 3: Intel,2020-05-11,Intel,INTC,,public,"S6E6; https://www.acquired.fm/episodes/adapting-episode-3-intel; public on NASDAQ as INTC"
94,SpaceX,2020-05-26,SpaceX,,,skipped,"S6E7; https://www.acquired.fm/episodes/spacex; privately held, no public listing as of 2026-09-04"
95,Oprah (Harpo Studios),2020-06-25,Harpo Studios,,,skipped,"S6E8; https://www.acquired.fm/episodes/oprah-harpo-studios; privately held production company / episode about a person"
96,Pinduoduo,2020-07-16,Pinduoduo,PDD,,public,"S7E1; https://www.acquired.fm/episodes/pinduoduo; US ADR on NASDAQ as PDD (now PDD Holdings)"
97,Eventbrite (with Julia & Kevin Hartz),2020-08-25,Eventbrite,EB,,public,"S7E2; https://www.acquired.fm/episodes/eventbrite; public on NYSE as EB since 2018"
98,Epic Games,2020-09-01,Epic Games,,,skipped,"S7E3; https://www.acquired.fm/episodes/epic-games; privately held (Tencent minority stake only), no public listing"
99,The NBA,2020-09-30,,,,skipped,"S7E4; https://www.acquired.fm/episodes/the-nba; episode about a sports league, not a single company"
100,Twitter (with Dick Costolo),2020-10-28,Twitter,TWTR,,public,"S7E5; https://www.acquired.fm/episodes/twitter-with-dick-costolo; public on NYSE as TWTR on air date, later delisted 2022, use historical ticker"
