ep_num,title,air_date,subject,ticker,parent,status,source_note
126,Walmart,2022-07-18,Walmart,WMT,,public,"S11E1; https://www.acquired.fm/episodes/walmart; Walmart public on air date, ticker WMT"
127,Amazon.com,2022-08-16,Amazon,AMZN,,public,"S11E2; https://www.acquired.fm/episodes/amazon-com; Amazon public on air date, ticker AMZN"
128,Amazon Web Services,2022-09-05,Amazon,AMZN,,public,"S11E3; https://www.acquired.fm/episodes/amazon-web-services; AWS is an organic division of Amazon (never a separate company), buy parent-equivalent public ticker AMZN"
129,Benchmark Part I,2022-09-27,Benchmark,,,skipped,"S11E4; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
130,Benchmark Part II: The Dinner,2022-10-17,Benchmark,,,skipped,"S11E5; https://www.acquired.fm/episodes/benchmark-part-ii-the-dinner; Benchmark is a private VC partnership, no public ticker or parent"
131,Qualcomm,2022-11-14,Qualcomm,QCOM,,public,"S11E6; https://www.acquired.fm/episodes/qualcomm; Qualcomm public on air date, ticker QCOM"
132,Enron,2022-11-28,Enron,,,skipped,"S11E7; https://www.acquired.fm/episodes/enron; Enron collapsed and was delisted in 2001, no tradable ticker on 2022 air date"
133,Stratechery (with Ben Thompson),2022-12-05,Stratechery,,,skipped,"S11E8; https://www.acquired.fm/episodes/stratechery-with-ben-thompson; Stratechery is Ben Thompson's private newsletter business, not a public company"
134,LVMH,2023-02-21,LVMH,LVMUY,,public,"S12E2; https://www.acquired.fm/episodes/lvmh; LVMH public on air date, US ADR LVMUY (Paris primary MC.PA)"
135,Nintendo's Origins,2023-03-15,Nintendo,NTDOY,,public,"S12E3; https://www.acquired.fm/episodes/nintendo; Nintendo public on air date, US ADR NTDOY (Tokyo primary 7974.T)"
136,Nintendo: The Console Wars,2023-04-11,Nintendo,NTDOY,,public,"S12E4; https://www.acquired.fm/episodes/nintendo-the-console-wars; Nintendo public on air date, US ADR NTDOY (Tokyo primary 7974.T)"
137,Lockheed Martin,2023-05-29,Lockheed Martin,LMT,,public,"S12E5; https://www.acquired.fm/episodes/lockheed-martin; Lockheed Martin public on air date, ticker LMT"
138,Porsche (with Doug DeMuro),2023-06-26,Porsche,P911.DE,,public,"S12E6; https://www.acquired.fm/episodes/porsche-with-doug-demuro; Porsche AG IPO'd Sept 2022, public on air date, no US ADR, primary Frankfurt listing P911.DE"
139,Nike,2023-07-24,Nike,NKE,,public,"S13E1; https://www.acquired.fm/episodes/nike; Nike public on air date, ticker NKE"
140,Costco,2023-08-21,Costco,COST,,public,"S13E2; https://www.acquired.fm/episodes/costco (RSS pubDate 2026-03-03 appears to reflect a later re-upload; true air date confirmed via acquired.fm episode page); Costco public on air date, ticker COST"
141,Nvidia Part III: The Dawn of the AI Era (2022-2023),2023-09-05,Nvidia,NVDA,,public,"S13E3; https://www.acquired.fm/episodes/nvidia-the-dawn-of-the-ai-era; Nvidia public on air date, ticker NVDA"
142,Visa,2023-11-26,Visa,V,,public,"S13E4; https://www.acquired.fm/episodes/visa; Visa public on air date, ticker V"
143,Novo Nordisk (Ozempic),2024-01-21,Novo Nordisk,NVO,,public,"S14E1; https://www.acquired.fm/episodes/novo-nordisk-ozempic; Novo Nordisk public on air date, US ADR NVO (Copenhagen primary NOVO-B.CO)"
144,Hermès,2024-02-19,Hermès,HESAY,,public,"S14E2; https://www.acquired.fm/episodes/hermes; Hermes public on air date, US ADR HESAY (Paris primary RMS.PA)"
145,Renaissance Technologies,2024-03-17,Renaissance Technologies,,,skipped,"S14E3; https://www.acquired.fm/episodes/renaissance-technologies; Renaissance Technologies is a private hedge fund, no public ticker or parent"
146,Microsoft Volume I,2024-04-21,Microsoft,MSFT,,public,"S14E4; https://www.acquired.fm/episodes/microsoft-volume-ii; Microsoft public on air date, ticker MSFT"
147,Starbucks (with Howard Schultz),2024-06-03,Starbucks,SBUX,,public,"S14E5; https://www.acquired.fm/episodes/starbucks-with-howard-schultz; Starbucks public on air date, ticker SBUX"
148,Microsoft Volume II,2024-07-21,Microsoft,MSFT,,public,"S14E6; https://www.acquired.fm/episodes/microsoft-volume-ii; Microsoft public on air date, ticker MSFT"
149,"Acquired LIVE from Chase Center (with Daniel Ek, Emily Chang, Jensen Huang and Mark Zuckerberg)",2024-09-29,,,,skipped,"S15E1; https://www.acquired.fm/episodes/acquired-live-from-chase-center-with-daniel-ek-emily-chang-jensen-huang-and-mark-zuckerberg; Live panel/event episode not about a single company, no subject to buy"
150,Meta,2024-10-27,Meta,META,,public,"S15E2; https://www.acquired.fm/episodes/meta; Meta public on air date, ticker META"
