ticker,date,close,note
YHOO,2017-03-13,45.0,approx - no exact daily close found via web search; YHOO traded roughly $43-46 in Q1 2017 (high of $46.24 per Benzinga); Yahoo Finance/most trackers have no history for delisted YHOO
YHOO,2017-06-13,52.0,REVIEW-corrected: actual YHOO close 2017-06-13 ~$52.00 (two independent sources); Verizon deal closed this day
LNKD,2016-06-16,192.5,"approx - LNKD jumped 47% to ~$193 on announcement day 2016-06-13 (Monday) per CNBC https://www.cnbc.com/2016/06/13/microsoft-to-buy-linkedin.html; price held near deal price through the week, 2016-06-16 (Thursday) estimated ~$192.50"
LNKD,2016-12-08,196.0,"deal close cash payout - Microsoft acquisition completed 2016-12-08 at $196.00/share, https://news.microsoft.com/source/2016/06/13/microsoft-to-acquire-linkedin/"
WFM,2017-06-20,43.6,"approx - WFM closed $42.68 on 2017-06-16 (announcement day) per Motley Fool https://www.fool.com/investing/2017/07/04/why-whole-foods-market-inc-stock-popped-203-in-jun.aspx; stock climbed toward ""nearly $44"" in following days on rival-bid speculation; 2017-06-20 (Tuesday) estimated ~$43.60"
WFM,2017-08-28,42.0,"deal close cash payout - Amazon acquisition completed 2017-08-28 at $42.00/share, https://www.sec.gov/Archives/edgar/data/865436/000157104917006849/t1702075-defm14a.htm"
ATVI,2017-07-12,61.02,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/atvi/history/"
ATVI,2017-12-29,63.32,"approx year-end - stockanalysis.com/Tiingo daily close data (last trading day of 2017), https://stockanalysis.com/stocks/atvi/history/"
ATVI,2018-12-31,46.57,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/atvi/history/"
ATVI,2019-12-31,59.42,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/atvi/history/"
ATVI,2020-12-31,92.85,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/atvi/history/"
ATVI,2021-12-31,66.53,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/atvi/history/"
ATVI,2022-12-30,76.55,"approx year-end - stockanalysis.com/Tiingo daily close data (last trading day of 2022, 2022-12-31 was a Saturday), https://stockanalysis.com/stocks/atvi/history/"
ATVI,2023-10-13,95.0,deal close cash payout - Microsoft acquisition completed 2023-10-13 at $95.00/share
VA,2016-04-26,55.5,approx - VA closed $55.11 on 2016-04-05 (day after Alaska deal announced 2016-04-04) per Motley Fool https://www.fool.com/investing/general/2016/04/04/virgin-america-stock-flies-higher-on-buyout.aspx; stock traded in merger-arb discount to $57 deal price through April; 2016-04-26 estimated ~$55.50
VA,2016-12-14,57.0,deal close cash payout - Alaska Air acquisition completed 2016-12-14 at $57.00/share
WORK,2019-06-24,37.0,"approx - WORK closed $38.62 on 2019-06-20 (direct listing debut day) per multiple news sources; Digrin.com monthly average for June 2019 was $37.50, https://www.digrin.com/stocks/detail/WORK/price; 2019-06-24 (following Monday) estimated ~$37.00"
WORK,2019-12-31,22.48,"approx - Digrin.com monthly price history, December 2019 value $22.48, https://www.digrin.com/stocks/detail/WORK/price"
WORK,2020-12-31,42.24,"approx - Digrin.com monthly price history, December 2020 value $42.24 (reflects post Dec-1-2020 Salesforce acquisition-talk rally), https://www.digrin.com/stocks/detail/WORK/price"
WORK,2021-07-21,45.58,"deal close mixed consideration - Salesforce acquisition completed 2021-07-21 at $26.79 cash + 0.0776 CRM shares; CRM closed at $242.11 that day (stockanalysis.com/Tiingo), so total value = 26.79 + 0.0776*242.11 = 45.58"
TWTR,2020-10-28,48.53,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/twtr/history/"
TWTR,2020-12-31,54.15,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/twtr/history/"
TWTR,2021-12-31,43.22,"stockanalysis.com/Tiingo daily close data, https://stockanalysis.com/stocks/twtr/history/"
TWTR,2022-10-27,54.2,"deal close cash payout - Elon Musk acquisition completed 2022-10-27 (last trading day; TWTR delisted before market open 2022-10-28) at $54.20/share cash; last traded price was $53.70 per stockanalysis.com, https://stockanalysis.com/stocks/twtr/history/"
EB,2020-08-25,10.3,"stockanalysis.com history close, https://stockanalysis.com/stocks/eb/history/"
EB,2020-12-31,18.1,"stockanalysis.com history close, https://stockanalysis.com/stocks/eb/history/"
EB,2021-12-31,17.44,"stockanalysis.com history close, https://stockanalysis.com/stocks/eb/history/"
EB,2022-12-30,5.86,"stockanalysis.com history close (year-end trading day, 12/31 fell on Saturday), https://stockanalysis.com/stocks/eb/history/"
EB,2023-12-29,8.36,"stockanalysis.com history close (year-end trading day, 12/31 fell on Sunday), https://stockanalysis.com/stocks/eb/history/"
EB,2024-12-31,3.36,"stockanalysis.com history close, https://stockanalysis.com/stocks/eb/history/"
EB,2025-12-31,4.45,"stockanalysis.com history close, trading near deal price of $4.50 cash after Bending Spoons acquisition announced 2025-12-02, https://stockanalysis.com/stocks/eb/history/"
