ep_num,title,air_date,ticker,status,buy_date,buy_price,split_factor,current_value,return_pct,gain_usd,flag
1,Pixar,2015-10-15,DIS,parent,2015-10-15,107.89,1.100229,117.23,8.7,9.34,
2,Instagram,2015-11-01,META,parent,2015-11-02,103.31,1.008782,653.72,532.8,550.41,
3,Twitch,2015-11-16,AMZN,parent,2015-11-16,647.81,20.0,5135.6,692.8,4487.79,
5,Siri,2015-12-14,AAPL,parent,2015-12-14,112.48,4.447273,1477.7,1213.7,1365.22,
6,Lucasfilm,2016-01-19,DIS,parent,2016-01-19,93.97,1.093222,116.48,24.0,22.51,
7,YouTube,2016-02-03,GOOGL,parent,2016-02-03,749.38,20.190314,6834.42,812.0,6085.04,
8,"Acompli, Sunrise, and Wunderlist (with Kurt DelBene)",2016-02-29,MSFT,parent,2016-02-29,50.88,1.141112,565.57,1011.6,514.69,
9,Writely (Google Docs),2016-03-29,GOOGL,parent,2016-03-29,765.89,20.190311,6834.42,792.4,6068.53,
10,Virgin America,2016-04-26,VA,public,2016-04-26,55.5,1.0,57.0,2.7,1.5,manual_prices
11,PayPal,2016-05-08,PYPL,public,2016-05-09,39.62,1.011152,54.32,37.1,14.7,
13,Push Pop Press (Facebook Instant Articles) with Todd Bishop,2016-06-05,META,parent,2016-06-06,118.79,1.008781,653.72,450.3,534.93,
14,LinkedIn,2016-06-16,LNKD,public,2016-06-16,192.5,1.0,196.0,1.8,3.5,manual_prices
15,ExactTarget (acquired by Salesforce) with Scott Dorsey,2016-07-05,CRM,parent,2016-07-05,78.67,1.0173,252.01,220.3,173.34,
16,Midroll + Stitcher (acquired by Scripps),2016-07-12,SSP,parent,2016-07-12,17.73,1.392652,10.6,-40.2,-7.13,
17,Waze,2016-08-03,GOOGL,parent,2016-08-03,798.92,20.190315,6834.42,755.5,6035.5,
19,Android,2016-09-16,GOOGL,parent,2016-09-16,797.97,20.190314,6834.42,756.5,6036.45,
21,Zillow + Trulia (with Zillow Group CFO Kathleen Philips),2016-10-13,Z,public,2016-10-13,32.06,1.0,32.5,1.4,0.44,
22,NeXT (Live show at the GeekWire Summit),2016-10-23,AAPL,parent,2016-10-24,117.65,4.372815,1452.96,1135.0,1335.31,
23,Skype,2016-11-01,MSFT,parent,2016-11-01,59.8,1.126168,558.16,833.4,498.36,
24,The Facebook IPO,2016-11-11,META,public,2016-11-11,119.02,1.008782,653.72,449.3,534.7,
25,Marvel,2016-12-05,DIS,parent,2016-12-05,99.96,1.085337,115.64,15.7,15.68,
26,The Amazon IPO with original Amazon Board Member Tom Alberg,2016-12-31,AMZN,public,2017-01-03,753.67,20.0,5135.6,581.4,4381.93,
27,P.A. Semi + AuthenTec,2017-01-24,AAPL,parent,2017-01-24,119.97,4.350479,1445.53,1104.9,1325.56,
29,The Snap Inc. IPO,2017-03-04,SNAP,public,2017-03-06,23.77,1.0,5.68,-76.1,-18.09,
30,Overture (with the Internet History Podcast!),2017-03-13,YHOO,parent,2017-03-13,45.0,1.0,52.0,15.6,7.0,manual_prices
31,The Starbucks IPO with Dan Levitan,2017-04-03,SBUX,public,2017-04-03,58.44,1.229286,121.38,107.7,62.94,
32,Oculus,2017-04-11,META,parent,2017-04-11,139.92,1.008782,653.72,367.2,513.8,
35,SoundJam (iTunes),2017-05-31,AAPL,parent,2017-05-31,152.76,4.313892,1433.38,838.3,1280.62,
36,Whole Foods Market,2017-06-20,WFM,public,2017-06-20,43.6,1.0,42.0,-3.7,-1.6,manual_prices
37,Activision Blizzard,2017-07-12,ATVI,public,2017-07-12,61.02,1.0,95.0,55.7,33.98,manual_prices
38,Booking.com with Jetsetter & Room 77 CEO Drew Patterson,2017-07-25,BKNG,parent,2017-07-25,2016.91,25.592709,4451.08,120.7,2434.17,
39,Opsware (with Michel Feaster),2017-08-04,HPE,parent,2017-08-04,17.51,1.683387,18.45,5.3,0.94,
40,The Square IPO,2017-08-16,XYZ,public,2017-08-16,24.99,1.0,79.21,217.0,54.22,
41,AOL and Time Warner (with the Internet History Podcast),2017-09-17,VZ,parent,2017-09-18,48.09,1.634258,65.45,36.1,17.36,
42,"HTC, Google and the Future of Mobile",2017-09-21,2498.TW,public,2017-09-21,2.3,1.022252,1.29,-43.9,-1.01,
44,The Atlassian IPO,2017-11-06,TEAM,public,2017-11-06,52.06,1.0,179.7,245.2,127.64,
45,Qualcomm - Broadcom,2017-11-20,QCOM,public,2017-11-20,66.47,1.261109,229.48,245.2,163.01,
46,The Stitch Fix IPO,2017-12-04,SFIX,public,2017-12-04,24.04,1.0,2.95,-87.7,-21.09,
47,Apple - Beats,2017-12-11,AAPL,parent,2017-12-11,172.67,4.281626,1422.66,723.9,1249.99,
48,Zappos (with Alfred Lin),2018-01-22,AMZN,parent,2018-01-22,1327.31,20.0,5135.6,286.9,3808.29,
50,Nest,2018-02-19,GOOGL,parent,2018-02-20,1103.59,20.190316,6834.42,519.3,5730.83,
51,"SoftBank, Fortress and the Vision Fund",2018-03-22,SFTBY,public,2018-03-22,39.35,8.043667,174.15,342.6,134.8,
52,The Dropbox IPO,2018-03-25,DBX,public,2018-03-26,30.45,1.0,35.56,16.8,5.11,
53,Spotify’s Direct Listing,2018-04-05,SPOT,public,2018-04-05,143.99,1.0,525.75,265.1,381.76,
54,PowerPoint,2018-05-04,MSFT,parent,2018-05-04,95.16,1.089063,539.77,467.2,444.61,
55,T-Mobile / Sprint,2018-05-21,TMUS,public,2018-05-21,57.19,1.051739,191.76,235.3,134.57,
58,Tesla,2018-07-16,TSLA,public,2018-07-16,310.1,15.0,5481.6,1667.7,5171.5,
59,The Xiaomi IPO,2018-08-05,1810.HK,public,2018-08-06,2.19,1.0,3.36,53.2,1.17,
60,The Sonos IPO,2018-08-20,SONO,public,2018-08-20,19.42,1.0,15.12,-22.1,-4.3,
62,Alibaba,2018-09-23,BABA,public,2018-09-24,163.16,1.06264,116.15,-28.8,-47.01,
63,Behance (with Scott Belsky),2018-10-01,ADBE,parent,2018-10-01,275.49,1.0,252.23,-8.4,-23.26,
64,Venmo (live with Andrew Kortina),2018-10-29,PYPL,parent,2018-10-29,81.15,1.011152,54.32,-33.1,-26.83,
65,Netflix (Part 1),2018-11-11,NFLX,public,2018-11-12,294.07,10.0,774.0,163.2,479.93,
66,Netflix (Part 2),2018-11-25,NFLX,public,2018-11-26,261.43,10.0,774.0,196.1,512.57,
67,Tencent,2018-12-16,TCEHY,public,2018-12-17,38.26,1.132323,61.64,61.1,23.38,
68,ESPN,2019-01-21,DIS,parent,2019-01-22,110.6,1.043997,111.24,0.6,0.64,
69,ARM & SoftBank,2019-02-03,SFTBY,parent,2019-02-04,38.53,8.043667,174.15,352.0,135.62,
70,Instagram Revisited (with Emily White),2019-02-25,META,parent,2019-02-25,164.62,1.008782,653.72,297.1,489.1,
71,The Lyft IPO,2019-03-30,LYFT,public,2019-04-01,69.01,1.0,15.32,-77.8,-53.69,
72,The Pinterest IPO,2019-04-23,PINS,public,2019-04-23,25.85,1.0,19.05,-26.3,-6.8,
73,The Uber IPO,2019-05-11,UBER,public,2019-05-13,37.1,1.0,71.67,93.2,34.57,
74,The Electronic Arts IPO (with Trip Hawkins),2019-05-27,EA,public,2019-05-28,93.5,1.0,210.0,124.6,116.5,manual_prices
75,The Zoom IPO (with Santi Subotovsky),2019-06-18,ZM,public,2019-06-18,99.64,1.0,95.57,-4.1,-4.07,
76,The Slack DPO,2019-06-24,WORK,public,2019-06-24,37.0,1.0,46.35,25.3,9.35,manual_prices
79,The Shopify IPO,2019-08-06,SHOP,public,2019-08-06,332.67,10.0,1287.9,287.1,955.23,
80,Google Maps,2019-08-26,GOOGL,public,2019-08-26,1171.18,20.190315,6834.42,483.6,5663.24,
82,Atari (with Nolan Bushnell),2019-10-15,ALATA.PA,public,2019-10-15,0.29,0.005,0.11,-60.9,-0.18,
84,"Disney, Plus",2019-11-25,DIS,public,2019-11-25,149.69,1.037572,110.55,-26.1,-39.14,
88,WhatsApp,2020-01-28,META,parent,2020-01-28,217.79,1.008781,653.72,200.2,435.93,
93,Adapting Episode 3: Intel,2020-05-11,INTC,public,2020-05-11,60.13,1.121776,115.48,92.0,55.35,
96,Pinduoduo,2020-07-16,PDD,public,2020-07-16,83.55,1.0,77.81,-6.9,-5.74,
