ep,ticker,buy_date,actual_close_usd,model_buy,cost_ratio,model_value,price_only_value,true_tr_value,model_mult,true_mult,S,event
1,DIS,2015-10-15,107.89,98.06,0.9089,104.18,104.18,114.62,1.062,1.062,1.0,
2,META,2015-11-02,103.31,102.41,0.9913,653.69,653.69,659.43,6.383,6.383,1.0,
3,AMZN,2015-11-16,647.81,647.81,1.0,5048.0,5048.0,5048.0,7.792,7.792,20.0,
5,AAPL,2015-12-14,112.48,101.17,0.8994,1261.36,1261.36,1402.4,12.468,12.468,4.0,
6,DIS,2016-01-19,93.97,85.96,0.9148,104.18,104.18,113.89,1.212,1.212,1.0,
7,GOOGL,2016-02-03,749.38,742.32,0.9906,6613.0,6613.0,6675.93,8.909,8.909,20.0,
8,MSFT,2016-02-29,50.88,44.59,0.8764,491.65,491.65,561.03,11.026,11.026,1.0,
9,GOOGL,2016-03-29,765.89,758.67,0.9906,6613.0,6613.0,6675.93,8.717,8.717,20.0,
11,PYPL,2016-05-09,39.62,39.18,0.9889,52.17,52.17,52.75,1.332,1.331,1.0,
13,META,2016-06-06,118.79,117.76,0.9913,653.69,653.69,659.43,5.551,5.551,1.0,
15,CRM,2016-07-05,78.67,77.33,0.983,244.16,244.16,248.38,3.157,3.157,1.0,
16,SSP,2016-07-12,17.73,16.93,0.9549,10.12,4.18,4.37,0.598,0.247,1.33,
17,GOOGL,2016-08-03,798.92,791.39,0.9906,6613.0,6613.0,6675.93,8.356,8.356,20.0,
19,GOOGL,2016-09-16,797.97,790.45,0.9906,6613.0,6613.0,6675.93,8.366,8.366,20.0,
21,Z,2016-10-13,32.06,32.06,1.0,32.14,32.14,32.14,1.002,1.002,1.0,
22,AAPL,2016-10-24,117.65,107.62,0.9147,1261.36,1261.36,1378.92,11.72,11.721,4.0,
23,MSFT,2016-11-01,59.8,53.1,0.888,491.65,491.65,553.68,9.259,9.259,1.0,
24,META,2016-11-11,119.02,117.98,0.9913,653.69,653.69,659.43,5.541,5.541,1.0,
25,DIS,2016-12-05,99.96,92.1,0.9214,104.18,104.18,113.07,1.131,1.131,1.0,
26,AMZN,2017-01-03,753.67,753.67,1.0,5048.0,5048.0,5048.0,6.698,6.698,20.0,
27,AAPL,2017-01-24,119.97,110.31,0.9195,1261.36,1261.36,1371.88,11.435,11.435,4.0,
29,SNAP,2017-03-06,23.77,23.77,1.0,5.31,5.31,5.31,0.223,0.223,1.0,
31,SBUX,2017-04-03,58.44,47.54,0.8135,100.04,100.04,122.98,2.104,2.104,1.0,
32,META,2017-04-11,139.92,138.7,0.9913,653.69,653.69,659.43,4.713,4.713,1.0,
35,AAPL,2017-05-31,152.76,141.64,0.9272,1261.36,1261.36,1360.34,8.905,8.905,4.0,
38,BKNG,2017-07-25,2016.91,1974.96,0.9792,4335.75,4335.75,4427.85,2.195,2.195,25.0,
39,HPE,2017-08-04,17.51,13.41,0.7658,14.12,75.92,99.15,1.053,5.663,1.289,
40,XYZ,2017-08-16,24.99,24.99,1.0,79.4,79.4,79.4,3.177,3.177,1.0,
41,VZ,2017-09-18,48.09,29.43,0.612,40.05,49.74,81.29,1.361,1.69,1.0,
42,2498.TW,2017-09-21,2.3,2.25,0.978,1.29,1.29,1.37,0.573,0.597,1.0,
43,NSRGY,2017-10-09,85.07,67.08,0.7885,95.76,95.76,121.44,1.428,1.427,1.0,
44,TEAM,2017-11-06,52.06,52.06,1.0,177.74,177.74,177.74,3.414,3.414,1.0,
45,QCOM,2017-11-20,66.47,52.71,0.793,176.4,176.4,222.46,3.347,3.347,1.0,
46,SFIX,2017-12-04,24.04,24.04,1.0,2.89,2.89,2.89,0.12,0.12,1.0,
47,AAPL,2017-12-11,172.67,161.31,0.9342,1261.36,1261.36,1350.17,7.819,7.819,4.0,
48,AMZN,2018-01-22,1327.31,1327.31,1.0,5048.0,5048.0,5048.0,3.803,3.803,20.0,
50,GOOGL,2018-02-20,1103.59,1093.19,0.9906,6613.0,6613.0,6675.93,6.049,6.049,20.0,
51,SFTBY,2018-03-22,39.35,39.14,0.9947,173.76,173.76,174.71,4.439,4.44,8.0,
52,DBX,2018-03-26,30.45,30.45,1.0,34.59,34.59,34.59,1.136,1.136,1.0,
53,SPOT,2018-04-05,143.99,143.99,1.0,523.0,523.0,523.0,3.632,3.632,1.0,
54,MSFT,2018-05-04,95.16,87.38,0.9182,491.65,491.65,535.44,5.627,5.627,1.0,
55,TMUS,2018-05-21,57.19,54.38,0.9509,177.34,177.34,186.52,3.261,3.261,1.0,
58,TSLA,2018-07-16,310.1,310.1,1.0,5517.15,5517.15,5517.15,17.792,17.792,15.0,
59,1810.HK,2018-08-06,2.19,2.19,0.9982,3.36,3.36,3.36,1.534,1.532,1.0,
60,SONO,2018-08-20,19.42,19.42,1.0,14.55,14.55,14.55,0.749,0.749,1.0,
62,BABA,2018-09-24,163.16,153.54,0.941,109.4,109.4,116.25,0.713,0.713,1.0,
63,ADBE,2018-10-01,275.49,275.49,1.0,254.86,254.86,254.86,0.925,0.925,1.0,
64,PYPL,2018-10-29,81.15,80.25,0.9889,52.17,52.17,52.75,0.65,0.65,1.0,
65,NFLX,2018-11-12,294.07,294.07,1.0,760.3,760.3,760.3,2.585,2.585,10.0,
66,NFLX,2018-11-26,261.43,261.43,1.0,760.3,760.3,760.3,2.908,2.908,10.0,
67,TCEHY,2018-12-17,38.26,33.79,0.8832,54.69,54.69,61.93,1.619,1.619,1.0,
68,DIS,2019-01-22,110.6,105.94,0.9579,104.18,104.18,108.76,0.983,0.983,1.0,
69,SFTBY,2019-02-04,38.53,38.32,0.9945,173.76,173.76,174.71,4.534,4.534,8.0,
70,META,2019-02-25,164.62,163.19,0.9913,653.69,653.69,659.43,4.006,4.006,1.0,
71,LYFT,2019-04-01,69.01,69.01,1.0,14.9,14.9,14.9,0.216,0.216,1.0,
72,PINS,2019-04-23,25.85,25.85,1.0,18.28,18.28,18.28,0.707,0.707,1.0,
73,UBER,2019-05-13,37.1,37.1,1.0,71.08,71.08,71.08,1.916,1.916,1.0,
75,ZM,2019-06-18,99.64,99.64,1.0,96.18,96.18,96.18,0.965,0.965,1.0,
79,SHOP,2019-08-06,332.67,332.67,1.0,1267.9,1267.9,1267.9,3.811,3.811,10.0,
80,GOOGL,2019-08-26,1171.18,1160.14,0.9906,6613.0,6613.0,6675.93,5.7,5.7,20.0,
82,ALATA.PA,2019-10-15,0.29,0.29,0.988,0.12,0.12,0.11,0.414,0.38,0.005,
84,DIS,2019-11-25,149.69,144.27,0.9638,104.18,104.18,108.09,0.722,0.722,1.0,
88,META,2020-01-28,217.79,215.89,0.9913,653.69,653.69,659.43,3.028,3.028,1.0,
93,INTC,2020-05-11,60.13,53.6,0.8914,106.24,106.24,119.18,1.982,1.982,1.0,
96,PDD,2020-07-16,83.55,83.55,1.0,78.61,78.61,78.61,0.941,0.941,1.0,
101,SPCE,2020-11-23,24.91,24.91,1.0,0.15,0.15,0.15,0.006,0.006,0.05,
102,DASH,2020-12-09,189.51,189.51,1.0,197.24,197.24,197.24,1.041,1.041,1.0,
103,ABNB,2020-12-10,144.71,144.71,1.0,169.63,169.63,169.63,1.172,1.172,1.0,
105,NYT,2021-02-17,49.68,46.97,0.9455,66.6,66.6,70.44,1.418,1.418,1.0,
106,MPNGY,2021-03-10,80.93,80.93,1.0,19.52,19.52,19.52,0.241,0.241,1.0,
108,BRK-B,2021-04-20,267.89,267.89,1.0,506.72,506.72,506.72,1.892,1.892,1.0,
109,BRK-B,2021-05-12,282.91,282.91,1.0,506.72,506.72,506.72,1.791,1.791,1.0,
110,BRK-B,2021-06-07,289.46,289.46,1.0,506.72,506.72,506.72,1.751,1.751,1.0,
114,TSM,2021-09-07,124.7,114.95,0.9218,435.36,435.36,472.29,3.787,3.787,1.0,
121,PTON,2022-02-10,37.46,37.46,1.0,5.06,5.06,5.06,0.135,0.135,1.0,
122,SONY,2022-03-07,95.82,93.69,0.9778,117.2,117.2,119.87,1.251,1.251,5.0,
124,NVDA,2022-03-28,282.19,281.03,0.9959,2234.2,2236.7,2243.38,7.95,7.95,10.0,
125,NVDA,2022-04-20,214.82,213.94,0.9959,2234.2,2236.7,2243.38,10.443,10.443,10.0,
126,WMT,2022-07-18,128.77,122.36,0.9502,317.49,317.49,334.11,2.595,2.595,3.0,
127,AMZN,2022-08-16,144.78,144.78,1.0,252.4,252.4,252.4,1.743,1.743,1.0,
128,AMZN,2022-09-06,126.11,126.11,1.0,252.4,252.4,252.4,2.001,2.001,1.0,
131,QCOM,2022-11-14,120.8,110.41,0.914,176.4,176.4,193.0,1.598,1.598,1.0,
134,LVMUY,2023-02-21,171.41,160.56,0.9367,95.57,95.57,102.03,0.595,0.595,1.0,
135,NTDOY,2023-03-15,9.4,9.28,0.9872,13.1,13.1,13.27,1.412,1.411,1.0,
136,NTDOY,2023-04-11,10.1,9.97,0.9871,13.1,13.1,13.27,1.314,1.313,1.0,
137,LMT,2023-05-30,447.97,408.06,0.9109,524.46,524.46,575.76,1.285,1.285,1.0,
138,P911.DE,2023-06-26,118.72,105.94,0.8924,52.17,52.17,54.84,0.492,0.462,1.0,
139,NKE,2023-07-24,108.77,101.11,0.9296,37.35,37.35,40.18,0.369,0.369,1.0,
140,COST,2023-08-21,543.21,521.06,0.9592,902.6,902.6,940.98,1.732,1.732,1.0,
141,NVDA,2023-09-05,485.48,483.99,0.9969,2234.2,2236.7,2241.06,4.616,4.616,10.0,
142,V,2023-11-27,254.14,248.94,0.9795,367.39,367.39,375.07,1.476,1.476,1.0,
143,NVO,2024-01-22,105.49,96.72,0.9169,44.56,44.56,48.6,0.461,0.461,1.0,
144,HESAY,2024-02-20,239.87,232.77,0.9704,163.95,163.95,168.95,0.704,0.704,1.0,
146,MSFT,2024-04-22,400.96,393.3,0.9809,491.65,491.65,501.22,1.25,1.25,1.0,
147,SBUX,2024-06-03,82.08,77.58,0.9452,100.04,100.04,105.84,1.29,1.29,1.0,
148,MSFT,2024-07-22,442.94,435.27,0.9827,491.65,491.65,500.32,1.13,1.13,1.0,
150,META,2024-10-28,578.16,574.85,0.9943,653.69,653.69,657.45,1.137,1.137,1.0,
153,TSM,2025-01-27,192.31,188.78,0.9816,435.36,435.36,443.51,2.306,2.306,1.0,
158,GOOGL,2025-06-30,176.23,175.62,0.9965,330.65,330.65,331.81,1.883,1.883,1.0,
160,GOOGL,2025-08-26,207.14,206.42,0.9965,330.65,330.65,331.81,1.602,1.602,1.0,
161,GOOGL,2025-10-06,250.43,249.78,0.9974,330.65,330.65,331.51,1.324,1.324,1.0,
163,KO,2025-11-24,72.59,71.13,0.9799,87.55,87.55,89.34,1.231,1.231,1.0,
165,FWONK,2026-03-02,91.09,91.09,1.0,96.8,96.8,96.8,1.063,1.063,1.0,
166,RACE,2026-04-13,355.14,351.09,0.9886,402.33,402.33,406.97,1.146,1.146,1.0,
168,DIS,2026-06-22,102.45,101.67,0.9924,104.18,104.18,104.98,1.025,1.025,1.0,
169,DIS,2026-08-10,103.18,103.18,1.0,104.18,104.18,104.18,1.01,1.01,1.0,
